Rank (2023),Rank (2022),Company Name,Country,Arms Revenue 2023 (in Million $),Arms Revenue 2022 (in Million $),Total Revenue 2023 (in Million $),Arms Revenue as % of Total Revenue
1,1,Lockheed Martin Corp., United States,60810,61820,67570,90.00%
2,2,RTX, United States,40660,41190,68920,59.00%
3,3,Northrop Grumman Corp., United States,35570,33620,39290,90.50%
4,4,Boeing, United States,31100,30500,77790,40.00%
5,5,General Dynamics Corp., United States,30200,29270,42270,71.40%
6,6,BAE Systems, United Kingdom,29810,29150,30350,98.20%
7,9,Rostece f, Russia,21730,14550,33430,65.00%
8,8,AVIC, China,20850,19750,83430,25.00%
9,7,NORINCO, China,20560,21130,76600,26.80%
10,10,CETCe, China,16050,14260,55990,28.70%
11,13,L3Harris Technologiesg, United States,14760,13150,19420,76.00%
12,14,Airbus,Trans-Europeanh,12890,13090,70710,18.20%
13,12,Leonardo, Italy,12390,13980,16520,75.00%
14,11,CASCe, China,12350,13370,41170,30.00%
15,16,CSSCe, China,11480,10000,48950,23.50%
16,17,Thales, France,10350,10110,19910,52.00%
17,18,HII, United States,9280,9110,11450,81.00%
18,15,CASIC, China,8850,11270,27640,32.00%
19,19,Leidos, United States,8730,8580,15440,56.50%
20,21,Booz Allen Hamilton, United States,6900,6140,10660,64.70%
21,20,Amentum, United States,6450,6830,8600,75.00%
22,23,Rolls-Royce, United Kingdom,6290,6140,19120,32.90%
23,24,AECC, China,5780,4920,,
24,42,Hanwha Groupi, South Korea,5710,3740,61300,9.30%
25,27,CACI International, United States,5700,5020,7660,74.40%
26,29,Rheinmetall, Germany,5480,4970,7750,70.70%
27,26,Elbit Systems, Israel,5380,4710,5980,90.00%
28,22,CSGC, China,5130,5630,43930,11.70%
29,28,Honeywell International, United States,4990,4820,36660,13.60%
30,33,MBDA,Trans-Europeanh,4760,4740,4810,99.00%
31,32,General Electric, United States,4710,4590,67950,6.90%
32,30,Naval Group, France,4550,4860,4600,98.90%
33,36,Safran, France,4510,4510,25060,18.00%
34,37,Israel Aerospace Industries, Israel,4490,3890,5330,84.20%
35,40,Saab, Sweden,4360,3760,4850,89.90%
36,35,KBR, United States,4230,4440,6960,60.80%
37,38,Sandia National Laboratories, United States,4200,4080,4780,87.90%
38,41,Babcock International Group, United Kingdom,4030,3990,5450,73.90%
39,45,Mitsubishi Heavy Industries, Japan,3890,3140,33210,11.70%
40,39,Science Applications International Corp., United States,3870,3930,7440,52.00%
41,34,United Shipbuilding Corp.e, Russia,3770,3700,4710,80.00%
42,44,Rafael, Israel,3730,3210,3810,97.90%
43,43,Hindustan Aeronautics, India,3710,3470,3910,94.90%
44,53,V2X, United States,3410,2620,3960,86.10%
45,46,KNDS,Trans-Europeanh,3340,3470,3510,95.20%
46,25,Dassault Aviation Group, France,3220,5440,5190,62.00%
47,52,NCSIST, Taiwan,3220,2530,3360,95.80%
48,51,Bechtel Corp., United States,2970,2850,20600,14.40%
49,47,Textron, United States,2940,3030,13680,21.50%
50,48,CEA, France,2900,2990,6560,44.20%
51,50,Fincantieri, Italy,2820,3000,8270,34.10%
